date_time,song_name,artists,duration,user_name
2023-02-11 10:08:24,Cobra - Uyir Urugudhey Video | Chiyaan Vikram | @A. R. Rahman,SonyMusicSouthVEVO,05:10,Vignaraj#6477
2023-02-11 10:08:26,"Enna Solla Pogirai - Neethanadi Video Song | Ashwin Kumar, Teju | Vivek-Mervin | A. Hariharan",Muzik247,04:51,Vignaraj#6477
2023-02-11 10:08:29,Kaathuvaakula Rendu Kaadhal - Rendu Kaadhal Music Video | Vijay Sethupathi | Anirudh |Vignesh Shivan,Sony Music South,05:54,Vignaraj#6477
2023-02-11 10:08:32,"Thooriga | HDR | Guitar Kambi Mele Nindru | Suriya, Prayaga Martin |Gautham Menon |Karthik |Navarasa",Think Music India,04:50,Vignaraj#6477
2023-02-11 10:08:34,Dhruva Natchathiram - Oru Manam Video | Chiyaan Vikram | Harris Jayaraj | Gautham Vasudev Menon,Sony Music South,06:08,Vignaraj#6477
2023-02-11 10:08:37,"Kaathuvaakula Rendu Kaadhal - Naan Pizhai Video | Vijay Sethupathi, Nayanthara | Anirudh Ravichander",Sony Music South,04:00,Vignaraj#6477
2023-02-11 10:08:39,"Yaaraiyum Ivlo Azhaga - Video | Sulthan | Karthi, Rashmika | Silambarasan TR | Vivek - Mervin | 4K",Dream Warrior Pictures,04:19,Vignaraj#6477
2023-02-11 10:08:42,Master - Andha Kanna Paathaakaa Lyric | Thalapathy Vijay | Anirudh Ravichander | Lokesh Kanagaraj,Sony Music South,03:18,Vignaraj#6477
2023-02-11 10:08:45,Jagame Thandhiram - Nethu Video | Dhanush | Santhosh Narayanan | Karthik Subbaraj,Sony Music South,04:01,Vignaraj#6477
2023-02-11 10:08:48,"Thaarame Thaarame Video Song | Kadaram Kondan | Abi Hassan, Akshara Haasan | Sid Sriram | Ghibran",Muzik247,03:00,Vignaraj#6477
2023-02-11 10:08:50,"Ennai Vittu � Kannum Kannum Kollaiyadithaal | Dulquer S, Ritu V | Ranjith, Vignesh S, Masala Coffee",Zee Music South,04:01,Vignaraj#6477
2023-02-11 10:08:53,"Spreading like wildfire : Bigil's Unakaga Song Singers | Sreekanth Hariharan, Madhura Dhara | Vijay",IndiaGlitz Tamil,19:26,Vignaraj#6477
